id,name,slug,release_date,model_creator_id,model_creator_name,elo,rank,ci95,appearances,category_style_anime_elo,category_style_anime_ci95,category_style_anime_appearances,category_style_cartoon_illustration_elo,category_style_cartoon_illustration_ci95,category_style_cartoon_illustration_appearances,category_style_general_photorealistic_elo,category_style_general_photorealistic_ci95,category_style_general_photorealistic_appearances,category_style_graphic_design_digital_rendering_elo,category_style_graphic_design_digital_rendering_ci95,category_style_graphic_design_digital_rendering_appearances,category_style_traditional_art_elo,category_style_traditional_art_ci95,category_style_traditional_art_appearances,category_style_vintage_retro_elo,category_style_vintage_retro_ci95,category_style_vintage_retro_appearances,category_subject_commercial_elo,category_subject_commercial_ci95,category_subject_commercial_appearances,category_subject_fantasy_mythical_elo,category_subject_fantasy_mythical_ci95,category_subject_fantasy_mythical_appearances,category_subject_futuristic_sci_fi_elo,category_subject_futuristic_sci_fi_ci95,category_subject_futuristic_sci_fi_appearances,category_subject_nature_landscapes_elo,category_subject_nature_landscapes_ci95,category_subject_nature_landscapes_appearances,category_subject_people_groups_activities_elo,category_subject_people_groups_activities_ci95,category_subject_people_groups_activities_appearances,category_subject_people_portraits_elo,category_subject_people_portraits_ci95,category_subject_people_portraits_appearances,category_subject_physical_spaces_elo,category_subject_physical_spaces_ci95,category_subject_physical_spaces_appearances,category_subject_text_typography_elo,category_subject_text_typography_ci95,category_subject_text_typography_appearances,category_subject_ui_ux_design_elo,category_subject_ui_ux_design_ci95,category_subject_ui_ux_design_appearances
a1ee4d6f-d136-434b-bb1d-066fe5f9bf6f,GPT Image 1.5 (high),openai-gpt_image-1-5,2025-12,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1265,1,-12/12,4386,1259.0,-40/40,407.0,1255.0,-39/39,407.0,1278,-18/18,1750,1229,-23/23,1179,1377.0,-46/46,320.0,1305.0,-55/55,253.0,1219.0,-45/45,293.0,1313,-32/32,674,1264,-32/32,579,1251,-35/35,470,1333.0,-37/37,497.0,1289,-34/34,545,1213,-32/32,562,1216.0,-55/55,197.0,1261.0,-79/79,136.0
ae424391-721f-4df7-bf24-a8bef3c4c46c,Riverflow 2.0,sourceful_riverflow-2,2026-02,71724fa8-622e-455f-aaa2-ef3c5a067f8b,Sourceful,1261,2,-11/11,4590,1225.0,-38/38,411.0,1246.0,-38/38,406.0,1300,-18/18,1865,1214,-22/22,1238,1331.0,-40/40,368.0,1247.0,-52/52,240.0,1268.0,-50/50,261.0,1283,-29/29,730,1251,-31/31,603,1257,-34/34,502,1333.0,-35/35,546.0,1308,-34/34,588,1224,-31/31,631,1193.0,-53/53,212.0,1244.0,-82/82,131.0
6a5056eb-6854-43c4-bf18-01d185ce9e2f,Nano Banana Pro (Gemini 3 Pro Image),gemini_nano-banana-pro,2025-11,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1222,3,-12/12,3499,1163.0,-42/42,304.0,1235.0,-41/41,327.0,1265,-20/20,1411,1170,-23/23,948,1261.0,-45/45,258.0,1265.0,-61/61,181.0,1219.0,-49/49,236.0,1231,-31/31,548,1194,-33/33,478,1223,-37/37,378,1344.0,-40/40,401.0,1213,-35/35,428,1212,-34/34,474,,,,,,
6a398b55-7f36-4039-bbbf-2045ef8ab525,FLUX.2 [max],black_forest_labs_flux-2-max,2025-12,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1210,4,-13/13,3047,1214.0,-48/48,257.0,1265.0,-49/49,269.0,1221,-21/21,1242,1188,-26/26,838,1201.0,-45/45,249.0,,,,1247.0,-58/58,196.0,1233,-34/34,487,1222,-39/39,393,1180,-40/40,331,1281.0,-44/44,322.0,1205,-40/40,367,1150,-35/35,434,,,,,,
18874791-11a3-4cb7-bc0e-6ca10138eec7,FLUX.2 [pro],flux_flux-2--pro,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1201,5,-12/12,3347,1238.0,-45/45,289.0,1216.0,-41/41,319.0,1218,-20/20,1307,1157,-23/23,972,1272.0,-45/45,251.0,,,,1187.0,-47/47,243.0,1254,-32/32,531,1201,-33/33,486,1229,-41/41,318,1260.0,-38/38,382.0,1199,-35/35,428,1155,-34/34,431,,,,,,
e9f5c7b0-bcb3-400b-81a1-0a1401323551,Seedream 4.0,bytedance-seed_seedream-4-0,2025-09,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1189,6,-6/6,10330,1192.0,-23/23,938.0,1179.0,-24/24,870.0,1220,-10/10,4233,1137,-13/13,2825,1249.0,-25/25,746.0,1213.0,-30/30,574.0,1148.0,-27/27,670.0,1221,-17/17,1592,1182,-19/19,1385,1200,-21/21,1027,1269.0,-21/21,1203.0,1197,-19/19,1296,1173,-19/19,1381,1150.0,-30/30,537.0,1117.0,-35/35,408.0
e2201d15-3e29-48c6-89ba-e63ccf3dde15,FLUX.2 [flex],flux_flux-2--flex,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1184,7,-12/12,3323,1177.0,-43/43,290.0,1229.0,-42/42,314.0,1197,-19/19,1366,1153,-24/24,904,1217.0,-45/45,245.0,,,,1159.0,-50/50,207.0,1203,-31/31,545,1210,-34/34,465,1164,-37/37,357,1256.0,-37/37,382.0,1141,-34/34,428,1162,-34/34,439,,,,,,
bcc5b88d-1bb0-45e6-9940-2f8b99567b40,grok-imagine-image,grok-imagine-image,2026-01,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1178,8,-11/11,4186,1156.0,-37/37,371.0,1185.0,-38/38,360.0,1188,-18/18,1558,1170,-22/22,1119,1243.0,-41/41,297.0,1177.0,-50/50,223.0,1182.0,-48/48,233.0,1214,-30/30,589,1181,-30/30,571,1125,-33/33,428,1232.0,-34/34,438.0,1202,-31/31,528,1151,-30/30,538,1223.0,-58/58,181.0,,,
ec932cc1-3848-43e3-834b-c3489397db70,Imagen 4 Ultra,google-imagen_imagen-4-ultra,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1177,9,-12/12,3633,1196.0,-45/45,287.0,1225.0,-44/44,301.0,1188,-19/19,1404,1154,-22/22,1062,1222.0,-42/42,288.0,1136.0,-50/50,213.0,1187.0,-45/45,270.0,1195,-31/31,551,1163,-31/31,520,1172,-37/37,369,1255.0,-40/40,339.0,1211,-36/36,424,1148,-32/32,481,1158.0,-54/54,186.0,,,
8460c028-d357-4ca9-b761-d59d219be8f7,Imagen 4 Ultra Preview 0606,imagen-4-ultra-preview-0606,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1175,10,-10/10,4477,1161.0,-38/38,361.0,1236.0,-42/42,329.0,1200,-17/17,1806,1141,-20/20,1301,1189.0,-40/40,294.0,1186.0,-49/49,230.0,1164.0,-42/42,293.0,1173,-27/27,700,1156,-29/29,608,1145,-32/32,482,1304.0,-38/38,407.0,1176,-32/32,501,1142,-28/28,627,1259.0,-57/57,210.0,1190.0,-68/68,140.0
08f19008-675e-4d70-98b2-49ad3178c1f0,Seedream 4.5,seedream-4-5,2025-12,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1173,11,-9/9,5714,1206.0,-33/33,540.0,1232.0,-34/34,528.0,1175,-15/15,2314,1139,-18/18,1526,1255.0,-35/35,427.0,1161.0,-42/42,315.0,1152.0,-38/38,380.0,1235,-24/24,946,1185,-26/26,762,1175,-29/29,575,1228.0,-28/28,670.0,1198,-29/29,653,1111,-24/24,826,1105.0,-44/44,273.0,1150.0,-63/63,162.0
b76d882e-80cb-4f7f-8a4b-6e475704ac13,Imagen 4 Preview 0606,imagen-4-preview-0606,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1168,12,-10/10,4414,1176.0,-41/41,328.0,1213.0,-42/42,321.0,1181,-16/16,1801,1131,-20/20,1258,1201.0,-39/39,323.0,1184.0,-47/47,250.0,1234.0,-47/47,270.0,1158,-27/27,666,1144,-28/28,617,1152,-32/32,465,1290.0,-38/38,410.0,1158,-32/32,481,1139,-28/28,626,1156.0,-47/47,235.0,1163.0,-67/67,134.0
ead01c00-8518-4f8d-8033-76fcaef910fd,Nano Banana (Gemini 2.5 Flash Image),google_gemini-2-5-flash,2025-08,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1167,13,-7/7,10075,1127.0,-23/23,919.0,1196.0,-24/24,838.0,1186,-11/11,4085,1132,-13/13,2753,1254.0,-26/26,732.0,1166.0,-30/30,564.0,1139.0,-27/27,654.0,1194,-17/17,1577,1149,-18/18,1397,1164,-22/22,1006,1203.0,-21/21,1131.0,1184,-20/20,1242,1145,-19/19,1346,1177.0,-31/31,505.0,1152.0,-37/37,377.0
db7a9087-0b50-41f8-ac41-fb48db3aa459,FLUX.2 [dev] Turbo,fal_flux-2-dev-turbo,2025-12,d3f67dc4-ba4d-4103-ba79-ee321ca99b40,Fal,1165,14,-11/11,3857,1177.0,-40/40,360.0,1143.0,-38/38,365.0,1183,-18/18,1576,1131,-23/23,1021,1250.0,-41/41,303.0,1156.0,-54/54,189.0,1184.0,-47/47,246.0,1186,-28/28,659,1141,-31/31,527,1158,-36/36,391,1214.0,-36/36,430.0,1209,-35/35,447,1121,-31/31,532,1230.0,-61/61,174.0,,,
a4df7ca4-0e85-4ff4-a796-da8af019fbca,Seedream 3.0,seedream-3-0-byteplus,2025-04,2354746c-4775-4a06-b64d-0ba4137785b8,ByteDance Seed,1152,15,-9/9,5458,1144.0,-36/36,415.0,1109.0,-32/32,497.0,1220,-15/15,2233,1076,-18/18,1497,1226.0,-37/37,367.0,1073.0,-42/42,292.0,1109.0,-39/39,337.0,1207,-25/25,855,1142,-27/27,697,1191,-30/30,564,1225.0,-29/29,608.0,1180,-29/29,622,1165,-26/26,755,1064.0,-44/44,259.0,933.0,-59/59,152.0
5959f365-f1fa-424b-8bef-3b839251a497,ImagineArt 1.5 Preview,imagineart-1-5-preview,2025-11,3257e1b4-560b-4bb9-8197-39de391c491f,ImagineArt,1152,16,-8/8,7852,1140.0,-29/29,680.0,1163.0,-27/27,754.0,1194,-13/13,3203,1114,-16/16,2104,1146.0,-28/28,613.0,1111.0,-35/35,442.0,1123.0,-32/32,526.0,1167,-20/20,1288,1152,-21/21,1118,1141,-25/25,817,1261.0,-26/26,890.0,1137,-24/24,904,1153,-22/22,1078,1136.0,-39/39,360.0,1089.0,-49/49,248.0
6cb40a9f-7823-4667-870f-19619afc10ea,Qwen Image Max 2512,qwen_qwen-image-2512,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1151,17,-12/12,3307,1114.0,-43/43,277.0,1161.0,-41/41,309.0,1191,-19/19,1355,1122,-24/24,907,1154.0,-47/47,223.0,1106.0,-54/54,176.0,1141.0,-50/50,220.0,1172,-30/30,562,1147,-34/34,430,1168,-38/38,343,1212.0,-39/39,358.0,1136,-35/35,414,1135,-34/34,438,,,,,,
df44f7b5-8035-4a99-a0bb-ff22149d0464,FLUX.2 [dev],flux_flux-2--dev,2025-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1149,18,-11/11,3553,1135.0,-41/41,305.0,1127.0,-39/39,322.0,1189,-18/18,1446,1099,-22/22,971,1235.0,-41/41,287.0,,,,1148.0,-48/48,227.0,1137,-29/29,567,1145,-32/32,486,1200,-37/37,380,1203.0,-35/35,412.0,1158,-34/34,437,1136,-32/32,470,1113.0,-53/53,183.0,,,
aa41be4d-efb7-4d31-99e6-72678c1d05fd,Wan 2.5 Preview,wan_wan-2-5-preview,2025-09,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1147,19,-11/11,3866,1141.0,-37/37,363.0,1111.0,-38/38,343.0,1171,-18/18,1537,1099,-21/21,1064,1259.0,-41/41,299.0,1175.0,-54/54,184.0,1160.0,-46/46,249.0,1175,-28/28,607,1133,-31/31,492,1211,-35/35,416,1171.0,-33/33,453.0,1167,-33/33,452,1122,-29/29,559,,,,,,
c8a7698c-a595-476d-a56b-8b3ef4f239b7,Wan 2.6 Image,wan_wan-2-6,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1142,20,-15/15,2078,,,,,,,1167,-24/24,837,1102,-29/29,572,,,,,,,,,,1178,-40/40,332,1111,-43/43,273,1192,-50/50,207,1156.0,-47/47,234.0,1156,-45/45,259,1118,-43/43,262,,,,,,
b29f787a-5542-4920-9949-2fb5c3d05fd4,grok-imagine-image-pro,grok-imagine-image-pro,2026-02,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,1140,21,-10/10,4135,1063.0,-37/37,347.0,1162.0,-37/37,368.0,1160,-17/17,1600,1133,-22/22,1043,1165.0,-41/41,287.0,1156.0,-49/49,219.0,1177.0,-48/48,225.0,1167,-27/27,653,1145,-31/31,508,1108,-35/35,395,1205.0,-34/34,436.0,1108,-31/31,503,1101,-29/29,559,,,,,,
caa670a4-e827-4a4b-84fb-2dd240205fe2,Wan2.6 Text to Image,wan_wan-2-6-text-to-image-v2,2026-01,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1137,22,-9/9,5274,1160.0,-34/34,448.0,1111.0,-32/32,482.0,1173,-16/16,2009,1071,-18/18,1429,1248.0,-36/36,397.0,1109.0,-43/43,275.0,1094.0,-41/41,305.0,1179,-24/24,876,1107,-26/26,720,1160,-30/30,535,1191.0,-29/29,602.0,1180,-29/29,608,1101,-27/27,656,1165.0,-47/47,246.0,1006.0,-62/62,139.0
0413f436-9aa3-4f92-aa34-9432841c1830,FLUX.2 [dev] Flash,fal_flux-2-dev-flash,2025-12,d3f67dc4-ba4d-4103-ba79-ee321ca99b40,Fal,1134,23,-11/11,3793,1174.0,-40/40,353.0,1150.0,-39/39,348.0,1150,-18/18,1548,1087,-22/22,1023,1200.0,-42/42,275.0,1149.0,-52/52,201.0,1138.0,-47/47,237.0,1182,-29/29,599,1125,-31/31,513,1111,-35/35,405,1173.0,-36/36,409.0,1164,-32/32,508,1096,-31/31,524,1151.0,-54/54,185.0,,,
3a03722d-32c0-44f3-adde-188c51b639f1,FLUX.2 [klein] 9B,flux_flux-2-klein-9b,2026-01,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1134,24,-10/10,4544,1121.0,-36/36,402.0,1141.0,-34/34,450.0,1174,-16/16,1823,1075,-20/20,1200,1230.0,-38/38,351.0,1086.0,-46/46,243.0,1132.0,-42/42,296.0,1158,-26/26,721,1141,-28/28,621,1127,-32/32,466,1216.0,-33/33,490.0,1141,-29/29,577,1154,-29/29,634,1061.0,-50/50,197.0,996.0,-63/63,129.0
e1394274-78e1-4ac7-863b-1fc28ec41939,Vivago 2.1,vivago_vivago-2-1,2025-10,040f2c41-5df4-4708-8c77-6a2030be2539,HiDream,1128,25,-10/10,4584,1148.0,-35/35,419.0,1132.0,-34/34,418.0,1150,-16/16,1852,1098,-20/20,1204,1178.0,-37/37,348.0,1094.0,-44/44,257.0,1124.0,-42/42,280.0,1162,-26/26,717,1141,-28/28,619,1114,-31/31,499,1209.0,-31/31,507.0,1136,-29/29,566,1081,-27/27,632,1087.0,-51/51,189.0,,,
2f5ebb1e-6d5f-48b0-95bf-3b590fd45971,GPT Image 1 (high),openai-gpt_gpt-image-1--high,2025-04,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1126,26,-10/10,4181,1089.0,-36/36,377.0,1132.0,-37/37,362.0,1136,-16/16,1727,1101,-21/21,1122,1220.0,-41/41,294.0,1136.0,-50/50,200.0,1145.0,-45/45,245.0,1156,-26/26,697,1116,-30/30,541,1129,-33/33,430,1150.0,-33/33,465.0,1128,-31/31,490,1072,-29/29,552,1106.0,-50/50,202.0,,,
2d625c08-831c-42d3-b910-e5e68b6c44d4,Kolors 2.1,kolors-2-1,2025-07,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1123,27,-10/10,4183,1095.0,-38/38,347.0,1181.0,-37/37,388.0,1146,-17/17,1693,1101,-21/21,1140,1109.0,-41/41,290.0,1090.0,-51/51,188.0,1120.0,-43/43,275.0,1136,-27/27,687,1107,-31/31,509,1141,-34/34,417,1169.0,-32/32,484.0,1123,-32/32,463,1101,-29/29,562,1159.0,-50/50,214.0,,,
b7c09073-9046-4043-884b-ac541fedbbac,FLUX.1 Kontext [max],flux-1-kontext-max,2025-05,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1120,28,-8/8,6614,1064.0,-29/29,596.0,1084.0,-30/30,542.0,1137,-13/13,2702,1100,-16/16,1779,1228.0,-32/32,464.0,1124.0,-37/37,366.0,1119.0,-34/34,431.0,1125,-21/21,1116,1120,-24/24,855,1170,-27/27,679,1125.0,-26/26,709.0,1142,-25/25,769,1100,-23/23,872,1096.0,-39/39,326.0,1073.0,-46/46,237.0
d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,alibaba_z-image-turbo,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1118,29,-9/9,6145,1082.0,-30/30,558.0,1073.0,-31/31,512.0,1174,-14/14,2539,1058,-17/17,1662,1214.0,-32/32,482.0,1074.0,-41/41,303.0,1088.0,-35/35,409.0,1123,-22/22,1007,1099,-24/24,810,1167,-27/27,665,1213.0,-28/28,650.0,1162,-26/26,775,1096,-23/23,869,1091.0,-43/43,278.0,1036.0,-55/55,178.0
b88087be-28be-4cef-9981-2d4470b3c42a,HunyuanImage 3.0 (Fal),tencent_hunyuanimage-3-0-fal,2025-09,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1117,30,-10/10,4321,1127.0,-36/36,382.0,1125.0,-35/35,404.0,1145,-16/16,1765,1040,-20/20,1143,1253.0,-38/38,349.0,1164.0,-52/52,197.0,1095.0,-42/42,276.0,1173,-26/26,741,1108,-30/30,536,1158,-34/34,428,1121.0,-31/31,512.0,1159,-30/30,553,1124,-29/29,561,1066.0,-52/52,181.0,867.0,-69/69,119.0
8d8aa93e-0d6c-4973-9946-e00e52eeb01d,Lucid Origin Ultra,lucid-origin-ultra,2025-08,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,1114,31,-10/10,4804,1099.0,-36/36,374.0,1070.0,-34/34,436.0,1152,-15/15,1969,1076,-19/19,1292,1194.0,-38/38,333.0,1096.0,-45/45,248.0,1044.0,-40/40,298.0,1129,-25/25,792,1098,-27/27,649,1155,-31/31,493,1187.0,-31/31,506.0,1101,-29/29,570,1110,-27/27,635,1102.0,-50/50,204.0,1052.0,-61/61,139.0
ba07faac-d296-472d-8249-9a0b6f78184a,HunyuanImage 3.0 Instruct (Fal),tencent_hunyuanimage-3-0-instruct--fal,2026-01,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1113,32,-10/10,4071,1088.0,-39/39,330.0,1110.0,-37/37,357.0,1115,-17/17,1568,1115,-21/21,1067,1192.0,-40/40,302.0,1086.0,-50/50,196.0,1105.0,-47/47,221.0,1128,-28/28,621,1132,-30/30,515,1103,-32/32,445,1156.0,-35/35,410.0,1116,-32/32,475,1066,-30/30,540,1112.0,-53/53,179.0,,,
29714890-0638-4648-a1df-3fdc2a4b42fa,Vidu Q2,vidu_vidu_q2,2025-11,e3a5ba75-0127-45b0-8bcc-2864b8dd404d,Vidu,1112,33,-9/9,5772,1143.0,-31/31,540.0,1179.0,-32/32,532.0,1129,-14/14,2336,1061,-18/18,1544,1198.0,-33/33,459.0,1035.0,-42/42,294.0,1060.0,-39/39,327.0,1169,-23/23,946,1075,-24/24,803,1079,-28/28,615,1222.0,-29/29,638.0,1165,-27/27,714,1118,-25/25,786,1045.0,-45/45,252.0,1000.0,-55/55,175.0
edba6b24-40ec-47ee-9afd-ddad6135da46,Eigen Image,eigenai_eigen-image,2026-01,db6e00a6-8552-4235-b26f-f89dc2bcba4f,Eigen AI,1110,34,-9/9,5295,1101.0,-34/34,435.0,1083.0,-32/32,486.0,1141,-15/15,2045,1077,-19/19,1393,1193.0,-36/36,382.0,1072.0,-42/42,282.0,1146.0,-39/39,344.0,1126,-24/24,847,1086,-26/26,719,1123,-30/30,527,1206.0,-30/30,581.0,1145,-29/29,586,1050,-26/26,691,1083.0,-46/46,241.0,1094.0,-69/69,132.0
7c4f717b-a48f-4ebe-85b5-9cab75ac2ac6,Vivago 2.0,vivago-2-0,2025-06,040f2c41-5df4-4708-8c77-6a2030be2539,HiDream,1108,35,-11/11,4023,1090.0,-39/39,327.0,1158.0,-39/39,331.0,1108,-17/17,1649,1081,-21/21,1110,1175.0,-42/42,273.0,1182.0,-54/54,190.0,1111.0,-43/43,260.0,1118,-27/27,668,1104,-31/31,486,1104,-34/34,418,1206.0,-35/35,426.0,1091,-32/32,474,1072,-30/30,541,1062.0,-48/48,212.0,,,
